,Exponent,Truth Label,Predicted Label,Confidence
713,0.675,1,1,0.9682299546142209
714,0.675,1,2,0.0
715,0.675,1,3,0.0015128593040847202
716,0.675,1,4,0.0
717,0.675,1,5,0.0
718,0.675,1,6,0.0
719,0.675,1,7,0.0030257186081694403
720,0.675,2,0,0.0030257186081694403
721,0.675,2,1,0.0
722,0.675,2,2,0.9092284417549168
723,0.675,2,3,0.01059001512859304
724,0.675,2,4,0.0
725,0.675,2,5,0.0015128593040847202
726,0.675,2,6,0.0226928895612708
727,0.675,2,7,0.0529500756429652
728,0.675,3,0,0.024205748865355523
729,0.675,3,1,0.0
730,0.675,3,2,0.009077155824508321
731,0.675,3,3,0.897125567322239
732,0.675,3,4,0.0030257186081694403
733,0.675,3,5,0.0045385779122541605
734,0.675,3,6,0.0030257186081694403
735,0.675,3,7,0.059001512859304085
736,0.675,4,0,
737,0.675,4,1,
738,0.675,4,2,
739,0.675,4,3,
740,0.675,4,4,
741,0.675,4,5,
742,0.675,4,6,
743,0.675,4,7,
744,0.675,5,0,
745,0.675,5,1,
746,0.675,5,2,
747,0.675,5,3,
748,0.675,5,4,
749,0.675,5,5,
750,0.675,5,6,
751,0.675,5,7,
752,0.675,6,0,
753,0.675,6,1,
754,0.675,6,2,
755,0.675,6,3,
756,0.675,6,4,
757,0.675,6,5,
758,0.675,6,6,
759,0.675,6,7,
760,0.675,7,0,
761,0.675,7,1,
762,0.675,7,2,
763,0.675,7,3,
764,0.675,7,4,
765,0.675,7,5,
766,0.675,7,6,
767,0.675,7,7,
768,0.725,0,0,0.8117647058823529
769,0.725,0,1,0.04201680672268908
770,0.725,0,2,0.008403361344537815
771,0.725,0,3,0.047058823529411764
772,0.725,0,4,0.0067226890756302525
773,0.725,0,5,0.0016806722689075631
774,0.725,0,6,0.013445378151260505
775,0.725,0,7,0.06890756302521009
776,0.725,1,0,0.021848739495798318
777,0.725,1,1,0.9697478991596639
778,0.725,1,2,0.0016806722689075631
779,0.725,1,3,0.0033613445378151263
780,0.725,1,4,0.0016806722689075631
781,0.725,1,5,0.0
782,0.725,1,6,0.0
783,0.725,1,7,0.0016806722689075631
784,0.725,2,0,0.0016806722689075631
